Feedback,Category
Laptop delivery is slow,Delivery Issue
Delivery is delayed,Delivery Issue
Product came late,Delivery Issue
Shipment is very slow,Delivery Issue
Mouse is not available,Availability Issue
Product is out of stock,Availability Issue
Item unavailable,Availability Issue
Stock is empty,Availability Issue
Mobile is damaged,Quality Issue
Product is broken,Quality Issue
Bad quality product,Quality Issue
Quality is poor,Quality Issue
Keyboard price is high,Pricing Issue
Cost is too much,Pricing Issue
Product is expensive,Pricing Issue
Need lower price,Pricing Issue
